Country Name;Region;World Rank;Region Rank;2021 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom
Afghanistan;Asia-Pacific;146;33;53,0;30,3;25,7;29,1;91,1;76,1;99,9;53,9;59,9;80,8;68,6;10;10
Albania;Europe;66;35;65,2;46,1;22,8;40,6;89,0;74,6;86,6;66,1;51,6;82,0;82,8;70;70
Algeria;Middle East and North Africa;162;13;49,7;34,0;41,6;32,7;67,2;55,4;49,1;63,5;51,3;84,3;57,4;30;30
Angola;Sub-Saharan Africa;140;30;54,2;30,3;22,8;20,4;87,3;86,9;77,9;56,9;59,6;67,5;70,2;30;40
Argentina;Americas;148;26;52,7;46,1;45,7;54,0;70,4;52,8;38,4;59,5;46,3;41,9;62,6;55;60
Armenia;Europe;32;18;71,9;57,3;55,3;45,0;87,1;81,3;84,3;81,9;74,5;76,9;73,8;75;70
Australia;Asia-Pacific;3;3;82,4;81,5;90,0;89,8;62,6;58,1;88,7;87,4;84,1;86,7;89,8;80;90
Austria;Europe;25;13;73,9;86,8;83,5;84,8;45,7;29,1;90,0;72,6;68,4;81,7;84,0;90;70
Azerbaijan;Europe;38;23;70,1;67,9;55,8;46,8;88,1;65,2;99,4;80,5;65,9;73,2;68,0;70;60
Bahamas;Americas;70;13;64,6;48,1;45,7;47,5;97,1;87,6;72,7;70,4;70,0;77,0;49,0;50;60
Bahrain;Middle East and North Africa;40;4;69,9;71,5;65,8;64,4;100,0;67,1;0,0;76,7;71,4;82,8;83,6;75;80
Bangladesh;Asia-Pacific;120;25;56,5;38,0;35,4;27,7;84,0;93,8;66,3;55,6;68,8;69,9;63,4;45;30
Barbados;Americas;67;12;65,0;52,7;49,7;50,2;79,3;73,1;79,8;69,7;60,1;77,3;58,4;70;60
Belarus;Europe;95;43;61,0;58,6;40,4;39,8;92,9;55,5;96,5;75,9;75,7;70,2;76,0;30;20
Belgium;Europe;37;22;70,1;84,0;70,2;81,3;46,5;18,4;78,7;80,1;61,1;82,0;84,0;85;70
Belize;Americas;114;21;57,5;41,8;45,7;36,3;78,7;64,7;68,5;60,0;54,2;80,2;55,0;55;50
Benin;Sub-Saharan Africa;100;10;59,6;42,5;37,0;32,2;68,4;92,0;86,3;54,6;58,5;83,7;60,4;50;50
Bhutan;Asia-Pacific;109;22;58,3;62,6;45,7;55,0;82,2;71,6;70,2;67,3;79,6;74,3;40,8;20;30
Bolivia;Americas;172;30;42,7;18,7;11,0;25,9;85,3;58,4;13,4;58,4;53,4;71,0;61,6;15;40
Bosnia and Herzegovina;Europe;82;40;62,9;44,1;33,7;42,4;93,8;49,5;97,1;48,2;67,8;84,1;69,2;65;60
Botswana;Sub-Saharan Africa;51;3;67,6;58,6;50,8;48,8;87,4;68,2;74,8;68,4;68,2;74,1;77,4;65;70
Brazil;Americas;143;24;53,4;55,0;45,5;47,5;70,1;56,5;5,3;58,0;50,7;77,8;64,6;60;50
Brunei Darussalam;Asia-Pacific;57;11;66,6;61,1;62,3;47,5;92,3;67,6;20,0;83,6;90,9;74,7;84,6;65;50
Bulgaria;Europe;35;20;70,4;66,2;43,6;46,8;93,9;64,7;99,2;62,9;68,5;85,2;84,0;70;60
Burkina Faso;Sub-Saharan Africa;124;21;56,5;45,1;36,6;34,5;80,9;81,9;60,8;44,8;52,2;74,7;61,0;65;40
Burma;Asia-Pacific;135;30;55,2;37,2;19,7;32,7;87,2;87,1;81,9;60,0;64,3;72,5;70,0;30;20
Burundi;Sub-Saharan Africa;161;40;49,9;28,0;32,1;27,0;77,1;79,3;32,2;51,8;67,3;74,7;49,8;50;30
Cambodia;Asia-Pacific;118;24;57,3;39,9;23,2;17,0;89,1;84,3;98,3;30,9;62,6;75,1;66,6;50;50
Cameroon;Sub-Saharan Africa;144;32;53,4;38,3;27,2;21,0;74,8;89,0;79,9;43,9;49,9;81,2;55,2;30;50
Canada;Americas;9;1;77,9;84,5;73,3;87,9;76,0;49,8;84,2;81,4;72,4;76,1;88,8;80;80
Cabo Verde;Sub-Saharan Africa;77;5;63,8;44,5;47,5;48,7;77,9;70,7;69,7;60,6;55,2;83,3;68,0;80;60
Central African Republic;Sub-Saharan Africa;166;44;48,8;23,2;28,2;22,0;65,3;92,2;95,4;23,3;40,9;74,9;45,2;45;30
Chad;Sub-Saharan Africa;158;38;50,4;27,7;25,0;21,0;44,6;93,9;96,1;25,3;42,9;76,7;52,0;60;40
Chile;Americas;19;2;75,2;70,2;68,4;74,5;72,3;80,4;90,4;75,1;62,5;85,5;83,0;70;70
China;Asia-Pacific;107;20;58,4;62,2;71,5;46,4;72,6;67,6;54,8;80,2;64,9;69,8;71,2;20;20
Colombia;Americas;49;6;68,1;59,8;36,4;49,7;69,7;69,3;78,9;71,0;77,7;78,1;77,0;80;70
Comoros;Sub-Saharan Africa;132;25;55,7;34,0;28,2;23,6;63,5;91,6;97,3;48,5;60,4;79,7;66,2;45;30
Congo, Democratic Republic of the Congo;Sub-Saharan Africa;165;43;49,0;23,0;18,2;11,5;71,3;96,0;99,5;53,1;40,2;61,7;63,2;30;20
Congo, Republic of;Sub-Saharan Africa;156;37;50,7;32,2;25,7;23,5;80,4;84,0;81,8;36,6;36,6;86,5;56,4;35;30
Costa Rica;Americas;72;14;64,2;64,0;58,1;59,0;79,9;87,7;24,3;66,2;55,5;80,9;75,0;70;50
